"longitude","latitude"
20.047227,63.77104
20.047404,63.771042
20.047549,63.771056
20.047629,63.771073
20.047688,63.77107
20.047747,63.771047
20.047785,63.771028
20.047817,63.771002
20.047844,63.770976
20.047892,63.770954
20.047919,63.770923
20.047919,63.770897
20.047839,63.770869
20.047764,63.77085
20.047715,63.77081
20.047694,63.770765
20.047592,63.770741
20.047501,63.770724
20.047431,63.770715
20.047329,63.770701
20.047254,63.770691
20.04719,63.770675
20.047109,63.77066
20.047034,63.770648
20.046895,63.770632
20.046825,63.770615
20.046744,63.770594
20.046701,63.770622
20.046675,63.770656
20.046583,63.770627
20.046519,63.77063
20.046433,63.770667
20.046465,63.77071
20.04653,63.770743
20.046557,63.770781
20.046632,63.770781
20.046685,63.770781
20.046777,63.770795
20.046841,63.770817
20.0469,63.770859
20.046964,63.770878
20.047034,63.770897
20.047002,63.770928
20.046986,63.770961
20.047066,63.770985
20.047136,63.771006
