Date,Sunrise,Sunset,Sunrise_timestamp,Sunset_timestamp
25/09/2022,6:30:00,18:29:00,25/09/2022 6:30,25/09/2022 18:29
26/09/2022,6:32:00,18:26:00,26/09/2022 6:32,26/09/2022 18:26
27/09/2022,6:35:00,18:22:00,27/09/2022 6:35,27/09/2022 18:22
28/09/2022,6:38:00,18:19:00,28/09/2022 6:38,28/09/2022 18:19
29/09/2022,6:41:00,18:15:00,29/09/2022 6:41,29/09/2022 18:15
30/09/2022,6:44:00,18:12:00,30/09/2022 6:44,30/09/2022 18:12
1/10/2022,6:47:00,18:08:00,1/10/2022 6:47,1/10/2022 18:08
2/10/2022,6:49:00,18:05:00,2/10/2022 6:49,2/10/2022 18:05
3/10/2022,6:52:00,18:01:00,3/10/2022 6:52,3/10/2022 18:01
4/10/2022,6:55:00,17:58:00,4/10/2022 6:55,4/10/2022 17:58
5/10/2022,6:58:00,17:55:00,5/10/2022 6:58,5/10/2022 17:55
6/10/2022,7:01:00,17:51:00,6/10/2022 7:01,6/10/2022 17:51
7/10/2022,7:04:00,17:48:00,7/10/2022 7:04,7/10/2022 17:48
8/10/2022,7:07:00,17:45:00,8/10/2022 7:07,8/10/2022 17:45
9/10/2022,7:10:00,17:41:00,9/10/2022 7:10,9/10/2022 17:41
10/10/2022,7:13:00,17:37:00,10/10/2022 7:13,10/10/2022 17:37
11/10/2022,7:15:00,17:34:00,11/10/2022 7:15,11/10/2022 17:34
12/10/2022,7:18:00,17:30:00,12/10/2022 7:18,12/10/2022 17:30
13/10/2022,7:21:00,17:27:00,13/10/2022 7:21,13/10/2022 17:27
14/10/2022,7:24:00,17:23:00,14/10/2022 7:24,14/10/2022 17:23
15/10/2022,7:27:00,17:20:00,15/10/2022 7:27,15/10/2022 17:20
16/10/2022,7:30:00,17:17:00,16/10/2022 7:30,16/10/2022 17:17
17/10/2022,7:33:00,17:13:00,17/10/2022 7:33,17/10/2022 17:13
18/10/2022,7:36:00,17:10:00,18/10/2022 7:36,18/10/2022 17:10
19/10/2022,7:39:00,17:06:00,19/10/2022 7:39,19/10/2022 17:06
20/10/2022,7:42:00,17:03:00,20/10/2022 7:42,20/10/2022 17:03
21/10/2022,7:45:00,17:00:00,21/10/2022 7:45,21/10/2022 17:00
22/10/2022,7:48:00,16:57:00,22/10/2022 7:48,22/10/2022 16:57
23/10/2022,7:51:00,16:53:00,23/10/2022 7:51,23/10/2022 16:53
24/10/2022,7:54:00,16:50:00,24/10/2022 7:54,24/10/2022 16:50
25/10/2022,7:58:00,16:47:00,25/10/2022 7:58,25/10/2022 16:47
26/10/2022,8:01:00,16:43:00,26/10/2022 8:01,26/10/2022 16:43
27/10/2022,8:04:00,16:40:00,27/10/2022 8:04,27/10/2022 16:40
28/10/2022,8:07:00,16:37:00,28/10/2022 8:07,28/10/2022 16:37
29/10/2022,8:10:00,16:33:00,29/10/2022 8:10,29/10/2022 16:33
30/10/2022,8:13:00,16:31:00,30/10/2022 8:13,30/10/2022 16:31
