"individual","n_locations","duration_days","median_interval_hours","min_interval_hours","max_interval_hours"
"F59682",17150,10.5049878375563,0.00384179049068027,0.00050016807185279,9.14968585385217
"F59685",23808,35.6905960830798,0.00430781582991282,0.000500100586149428,50.5493045019441
"F59686",20025,13.1317766334613,0.00386202500926124,0.000500111116303338,15.1987768108977
"F59688",70332,35.7114111386681,0.00341646002398597,0.00050000442398919,10.240976725022
"F59689",41066,19.4475199112379,0.00325303773085276,0.000500139395395915,47.5181050216489
"F59692",50039,35.6222641742036,0.00315780348247952,0.000499618583255344,20.6087124527825
"F59693",51201,34.5755914571302,0.0033075855506791,0.000500032173262702,39.2663998669386
"F59694",33314,35.7148895837035,0.00369883689615462,0.000500054425663418,38.6551895560821
"F59697",102969,35.7168817874293,0.00315781583388646,0.000500081115298801,13.8846642467048
"F59698",27823,10.6742664997804,0.0032054086195098,0.000500160853068034,3.48405514140924
"F59699",46599,34.7085027321621,0.00331430580880907,0.000500055286619398,194.095449102786
"F59702",76970,35.662647660347,0.00317135420110491,0.000499886141883002,13.9977711319261
"F59708",70966,35.7126910625343,0.00328017029497359,0.000499876141548157,16.084281535546
"F59711",68430,35.7182483339227,0.00350456363624997,0.000500092241499159,24.1151553691758
"F59712",55945,33.7310540506133,0.00367851972579956,0.000499907003508674,11.5462741474973
"F59714",95976,35.7039238928948,0.00292291276984745,0.000499404470125834,25.5172237714132
"F59715",65923,35.7175122485641,0.00322532206773758,0.000499618848164876,15.2505377091302
"F59717",75209,35.7059631102422,0.00348436948325899,0.0004999797211753,58.1456123510997
"F59720",20904,10.5916391877085,0.00418563299708896,0.000500076346927219,3.72118416309357
"F59722",65448,30.7320918984628,0.00323953277534909,0.000500131646792094,33.2648860199584
"F59724",49822,35.711669883855,0.003328079117669,0.000499997470113966,23.6157990355624
"F59726",31048,27.4396861369218,0.00341638021998935,0.00049896776676178,50.4729981138971
"F59727",65684,35.7126811490263,0.00334832827250163,0.000499956342909071,14.9720328066746
"F59728",50534,35.7189174062262,0.00393703917662303,0.000500061644448174,41.1135312680403
"F59730",75453,35.7116223202425,0.00349792944060432,0.000499934156735738,35.2334442619483
"F59733",57403,35.6983711673485,0.00335529820786582,0.000499962237146166,142.824620583852
"F59734",43131,35.5167419535777,0.00338893042670356,0.000499709977044,83.0845758099688
"F59735",13564,10.6398720865835,0.00450526277224223,0.000500208073192173,10.3425149642097
"F59736",29357,35.4698612337725,0.00343679775794347,0.000499943031205071,45.2489110572471
"F59737",62186,35.7129612661457,0.00360357469982571,0.000499863889482286,17.3154860599836
