"Species","Group","Mean_m2","CI_Lower","CI_Upper","Spillover_pct"
"Pike","Control",1352.32806645862,1246.57468573845,1462.32560626277,23.9964070245291
"Pike","Exposed",1415.01915681817,1116.65439377943,1748.17671621211,NA
"Pike","Total",1470.29331897852,1111.94132473184,1877.93156351613,NA
"Perch","Control",906.802199170884,359.056282558693,1703.86456331017,14.6229060945546
"Perch","Exposed",888.575692561751,335.98755870529,1705.16922428263,NA
"Perch","Total",873.453224338483,342.54083253138,1648.5229251633,NA
"Roach","Control",1337.73063650104,927.531003609625,1821.85895912223,9.6180947422882
"Roach","Exposed",1211.89801001965,722.755187462884,1825.39794961034,NA
"Roach","Total",1270.66543517137,828.737057785321,1805.52672647727,NA
