"individual_ID","species","potential_mortality_date","days_tracked_after","baseline_distance","baseline_speed","mean_distance_after","mean_speed_after","reduction_distance_pct","reduction_speed_pct","gps_noise_threshold","movement_vs_gps_noise","mortality_threshold","interpretation","days_since_start"
"F59810","Roach",2022-10-05,4,1610.46386740945,77.8071571019006,106.963515672135,10.654777469271,93.3582169810371,86.3061730229818,57.6461558862474,1.85551862093293,241.569580111418,"Possibly dead",0
"F59783","Roach",2022-10-08,7,1262.35597471476,74.8232619712811,2.48397759514207,0.929151561350725,99.8032268516253,98.7582049527494,45.489349367968,0.0546056962707671,189.353396207214,"Very likely dead",3
"F59757","Perch",2022-10-09,5,949.103417857774,109.32422657788,10.1100655083556,3.87044211856462,98.9347772520749,96.4596665901795,30.4152583463922,0.332401105827032,142.365512678666,"Very likely dead",4
"F59801","Perch",2022-10-13,17,447.292271310924,46.7365636385186,421.7702383469,68.7651936518619,5.70589625642842,-47.1336108142707,40.47265115991,10.4211171311822,67.0938406966386,"Uncertain",8
"F59776","Roach",2022-10-17,13,1148.66765653397,64.9871461235536,318.976135847196,63.1211173638649,72.2307724055113,2.87138129768149,47.9775679354425,6.6484432115526,172.300148480095,"Uncertain",12
"F59809","Roach",2022-10-18,12,2179.68550093335,118.33257268716,273.882422531365,60.8713465032603,87.4347733921207,48.5590948282784,50.2784563449045,5.44731168062444,326.952825140003,"Uncertain",13
"F59792","Perch",2022-10-18,8,1154.3550246514,132.021292752957,21.8104755062506,26.832919973418,98.1105920587267,79.6753088733734,33.2939869508495,0.655087524916993,173.15325369771,"Very likely dead",13
"F59774","Roach",2022-10-19,11,3582.83717664556,190.826431116784,1674.53955570184,123.427099843094,53.2621921359644,35.3197043403503,57.1746599728823,29.2881419232938,537.425576496834,"Uncertain",14
"F59790","Perch",2022-10-20,10,667.753336472947,97.8083242102401,231.901651944943,74.9764957618495,65.2713600549208,23.343440993134,34.9299807177327,6.63904322819208,100.163000470942,"Uncertain",15
