"Species","Group","Mean_Area_m2","CI_Lower","CI_Upper"
"Pike","Control",266.444568548553,83.620594549415,553.298484811854
"Pike","Exposed",367.974792337303,250.914978088327,507.092247206
"Pike","Total",305.805828577844,160.211513561309,497.676446127407
"Perch","Control",295.738157491646,150.926631279175,488.440789599919
"Perch","Exposed",320.897518715384,201.557225391827,467.541115424482
"Perch","Total",292.090167662428,166.830795276759,451.852172223285
"Roach","Control",275.603660116403,200.032471501375,363.096659643382
"Roach","Exposed",291.416168041941,182.438391738758,425.502618574992
"Roach","Total",273.935371091539,194.987781376376,366.092982997836
